
---------- Begin Simulation Statistics ----------
simSeconds                                   0.296678                       # Number of seconds simulated (Second)
simTicks                                 296677546500                       # Number of ticks simulated (Tick)
finalTick                                296677546500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1420.25                       # Real time elapsed on the host (Second)
hostTickRate                                208891092                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     684684                       # Number of bytes of host memory used (Byte)
simInsts                                    121450906                       # Number of instructions simulated (Count)
simOps                                      197556527                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    85514                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     139100                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        593355094                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               4.885555                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.204685                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       563958663                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 21759627                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      350672291                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 232188                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            388161757                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1026475980                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            16535561                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           593261579                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.591092                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.187586                       # Number of insts issued each cycle (Count)
system.l2.ReadSharedReq.mshrMissRate::total     0.987465                       # mshr miss rate for ReadSharedReq accesses (Ratio)
system.l2.ReadSharedReq.avgMshrMissLatency::cpu.data 62914.306788                       # average ReadSharedReq mshr miss latency ((Tick/Count))
system.l2.ReadSharedReq.avgMshrMissLatency::total 62914.306788                       # average ReadSharedReq mshr miss latency ((Tick/Count))
system.l2.UpgradeReq.hits::cpu.data                 1                       # number of UpgradeReq hits (Count)
system.l2.UpgradeReq.hits::total                    1                       # number of UpgradeReq hits (Count)
system.l2.UpgradeReq.accesses::cpu.data             1                       # number of UpgradeReq accesses(hits+misses) (Count)
system.l2.UpgradeReq.accesses::total                1                       # number of UpgradeReq accesses(hits+misses) (Count)
system.l2.WriteClean.hits::writebacks              60                       # number of WriteClean hits (Count)
system.l2.WriteClean.hits::total                   60                       # number of WriteClean hits (Count)
system.l2.WriteClean.accesses::writebacks           60                       # number of WriteClean accesses(hits+misses) (Count)
system.l2.WriteClean.accesses::total               60                       # number of WriteClean accesses(hits+misses) (Count)
system.l2.WritebackClean.hits::writebacks         1365                       # number of WritebackClean hits (Count)
system.l2.WritebackClean.hits::total             1365                       # number of WritebackClean hits (Count)
system.l2.WritebackClean.accesses::writebacks         1365                       # number of WritebackClean accesses(hits+misses) (Count)
system.l2.WritebackClean.accesses::total         1365                       # number of WritebackClean accesses(hits+misses) (Count)
system.l2.WritebackDirty.hits::writebacks         8773                       # number of WritebackDirty hits (Count)
system.l2.WritebackDirty.hits::total             8773                       # number of WritebackDirty hits (Count)
system.l2.WritebackDirty.accesses::writebacks         8773                       # number of WritebackDirty accesses(hits+misses) (Count)
system.l2.WritebackDirty.accesses::total         8773                       # number of WritebackDirty accesses(hits+misses) (Count)
system.l2.power_state.pwrStateResidencyTicks::UNDEFINED 296677546500                       # Cumulative time (in ticks) in various power states (Tick)
system.l2.tags.tagsInUse                  3836.694410                       # Average ticks per tags in use ((Tick/Count))
system.l2.tags.totalRefs                      1444112                       # Total number of references to valid blocks. (Count)
system.l2.tags.sampledRefs                     582717                       # Sample count of references to valid blocks. (Count)
system.l2.tags.avgRefs                       2.478239                       # Average number of references to valid blocks. ((Count/Count))
system.l2.tags.warmupTick                       77000                       # The tick when the warmup percentage was hit. (Tick)
system.l2.tags.occupancies::cpu.inst      1119.509505                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l2.tags.occupancies::cpu.data      2717.184904                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l2.tags.avgOccs::cpu.inst             0.034165                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2.tags.avgOccs::cpu.data             0.082922                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2.tags.avgOccs::total                0.117087                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l2.tags.occupanciesTaskId::1024           4063                       # Occupied blocks per task id (Count)
system.l2.tags.ageTaskId_1024::0                  105                       # Occupied blocks per task id, per block age (Count)
system.l2.tags.ageTaskId_1024::1                  238                       # Occupied blocks per task id, per block age (Count)
system.l2.tags.ageTaskId_1024::4                 3720                       # Occupied blocks per task id, per block age (Count)
system.l2.tags.ratioOccsTaskId::1024         0.123993                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l2.tags.tagAccesses                   41036997                       # Number of tag accesses (Count)
system.l2.tags.dataAccesses                  41036997                       # Number of data accesses (Count)
system.l2.tags.power_state.pwrStateResidencyTicks::UNDEFINED 296677546500                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls.avgPriority_writebacks::samples      2049.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu.inst::samples      1200.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.avgPriority_cpu.data::samples    514956.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls.priorityMinLatency      0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrls.priorityMaxLatency      0.000005014750                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrls.numReadWriteTurnArounds          101                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrls.numWriteReadTurnArounds          101                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrls.numStayReadState             1110312                       # Number of times bus staying in READ state (Count)
system.mem_ctrls.numStayWriteState               1947                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrls.readReqs                      582717                       # Number of read requests accepted (Count)
system.mem_ctrls.writeReqs                       2049                       # Number of write requests accepted (Count)
system.mem_ctrls.readBursts                    582717                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrls.writeBursts                     2049                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrls.servicedByWrQ                  66561                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrls.mergedWrBursts                     0                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrls.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrls.avgRdQLen                       1.00                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrls.avgWrQLen                      26.94                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrls.numRdRetry                         0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrls.numWrRetry                         0                       # Number of times write queue was full causing retry (Count)
system.mem_ctrls.readPktSize::0                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::1                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::2                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::3                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::4                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::5                     0                       # Read request sizes (log2) (Count)
system.mem_ctrls.readPktSize::6                582717                       # Read request sizes (log2) (Count)
system.mem_ctrls.writePktSize::0                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::1                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::2                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::3                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::4                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::5                    0                       # Write request sizes (log2) (Count)
system.mem_ctrls.writePktSize::6                 2049                       # Write request sizes (log2) (Count)
system.mem_ctrls.rdQLenPdf::0                  514912                       # What read queue length does an incoming req see (Count)
